Number of MC cycles: 980000
Number of Temperatures: 40
Number of Spins: 90
Temperature     Energy          Magnetisation   Heat_capacity   Susceptibility  
2.2500000       -1.4627527      0.67210250      2.0702082       36.489746       
2.2525641       -1.4571869      0.65989770      2.0852257       42.966514       
2.2551282       -1.4537007      0.65774204      2.0699839       40.270260       
2.2576923       -1.4469790      0.63779619      2.2050951       58.306701       
2.2602564       -1.4412190      0.62591841      2.2424691       61.607652       
2.2628205       -1.4355236      0.61229764      2.2295301       63.988257       
2.2653846       -1.4297172      0.59600745      2.3165761       76.924496       
2.2679487       -1.4212378      0.56339177      2.4338579       97.645591       
2.2705128       -1.4166145      0.55656756      2.4628788       98.707672       
2.2730769       -1.4139206      0.56276562      2.2814071       81.947594       
2.2756410       -1.4062074      0.53035541      2.4065931       105.93188       
2.2782051       -1.3998550      0.51392468      2.4681404       115.44109       
2.2807692       -1.3921735      0.48368697      2.4760099       123.04195       
2.2833333       -1.3862423      0.46708625      2.4112263       124.75625       
2.2858974       -1.3807576      0.45350466      2.3577965       125.76166       
2.2884615       -1.3766622      0.44625403      2.3454488       120.72209       
2.2910256       -1.3674972      0.40608586      2.1957217       120.58571       
2.2935897       -1.3636820      0.40643149      2.2789538       124.58244       
2.2961538       -1.3580286      0.38339007      2.2447122       127.57938       
2.2987179       -1.3507332      0.35273528      2.1160068       125.14431       
2.3012821       -1.3465458      0.34526078      2.0633764       118.70326       
2.3038462       -1.3420711      0.33731933      2.0480926       117.48285       
2.3064103       -1.3376876      0.32800869      1.9619052       111.79977       
2.3089744       -1.3312860      0.29960140      1.9029556       109.07562       
2.3115385       -1.3258772      0.28263848      1.8510967       104.99707       
2.3141026       -1.3208475      0.26662882      1.7821346       96.411851       
2.3166667       -1.3184946      0.27724009      1.8119949       98.255039       
2.3192308       -1.3122794      0.25647347      1.6895798       87.289956       
2.3217949       -1.3085169      0.24709073      1.6880538       88.774492       
2.3243590       -1.3046253      0.23845257      1.6043340       79.097644       
2.3269231       -1.2998013      0.22145402      1.5989804       76.696785       
2.3294872       -1.2949664      0.20945156      1.5506686       71.642429       
2.3320513       -1.2915308      0.20933994      1.5191915       68.554815       
2.3346154       -1.2873981      0.19612727      1.4941488       64.049694       
2.3371795       -1.2848128      0.20425270      1.5006095       65.550804       
2.3397436       -1.2792324      0.18244232      1.4551599       56.856150       
2.3423077       -1.2769277      0.19307557      1.4455820       59.978883       
2.3448718       -1.2731270      0.18385231      1.4293460       57.579527       
2.3474359       -1.2693163      0.16749841      1.3852205       51.020105       
2.3500000       -1.2657396      0.16982205      1.3697203       49.478612       
