Number of MC cycles: 980000
Number of Temperatures: 40
Number of Spins: 50
Temperature     Energy          Magnetisation   Heat_capacity   Susceptibility  
2.2500000       -1.4631436      0.67826139      1.9442519       21.888320       
2.2525641       -1.4587526      0.67327627      1.9536173       21.330290       
2.2551282       -1.4556432      0.67017492      1.9435262       21.788014       
2.2576923       -1.4499273      0.66161859      1.9304249       21.901432       
2.2602564       -1.4447560      0.65080272      1.9821178       24.617192       
2.2628205       -1.4421972      0.65364575      1.9773204       22.160957       
2.2653846       -1.4339249      0.63003839      2.0848481       29.976993       
2.2679487       -1.4280772      0.61768091      2.0821565       31.550318       
2.2705128       -1.4229003      0.60814443      2.1166734       33.625672       
2.2730769       -1.4185569      0.60290774      2.1040436       33.781465       
2.2756410       -1.4132995      0.59522438      2.1047622       32.980749       
2.2782051       -1.4106488      0.59130462      2.0772278       34.527468       
2.2807692       -1.4027277      0.57064140      2.1139397       38.586881       
2.2833333       -1.3981951      0.56406063      2.1103980       38.141288       
2.2858974       -1.3930324      0.55657659      2.1179775       37.756849       
2.2884615       -1.3864712      0.54099237      2.1187001       39.597003       
2.2910256       -1.3826235      0.53636463      2.1072979       39.827122       
2.2935897       -1.3757740      0.51982372      2.0958195       41.705981       
2.2961538       -1.3708465      0.50801071      2.0979184       42.992437       
2.2987179       -1.3640600      0.49085567      2.0949769       44.899188       
2.3012821       -1.3583307      0.47986375      2.0336816       43.795499       
2.3038462       -1.3538091      0.46965999      2.0494941       44.839658       
2.3064103       -1.3488902      0.46149159      2.0042374       43.987485       
2.3089744       -1.3427240      0.44469505      1.9902408       45.336498       
2.3115385       -1.3377548      0.43365171      1.9772796       45.042118       
2.3141026       -1.3345430      0.43359957      1.9469498       44.517121       
2.3166667       -1.3283253      0.41403124      1.9260498       45.481837       
2.3192308       -1.3252037      0.41163297      1.9059503       44.936763       
2.3217949       -1.3192645      0.39747124      1.8831317       44.809589       
2.3243590       -1.3132307      0.37925716      1.8135313       44.080774       
2.3269231       -1.3082112      0.37027406      1.8027236       43.393465       
2.3294872       -1.3046877      0.36526324      1.7486717       41.870806       
2.3320513       -1.3007599      0.35946640      1.7288633       41.268929       
2.3346154       -1.2943737      0.34391781      1.6829149       40.031899       
2.3371795       -1.2910105      0.33681397      1.6476184       40.059679       
2.3397436       -1.2858890      0.32371020      1.6109338       38.587294       
2.3423077       -1.2827956      0.32025198      1.6045344       38.985222       
2.3448718       -1.2792093      0.31642507      1.5873388       37.561522       
2.3474359       -1.2757667      0.31118763      1.5633022       37.087138       
2.3500000       -1.2700416      0.29638082      1.5123538       34.744605       
