Number of MC cycles: 980000
Number of Temperatures: 20
Number of Spins: 60
Temperature     Energy          Magnetisation   Heat_capacity   Susceptibility  
2.2500000       -1.4649480      0.68248327      1.9338621       22.556410       
2.2552632       -1.4545594      0.66642258      1.9750084       26.218641       
2.2605263       -1.4427319      0.63818915      2.1186266       35.324665       
2.2657895       -1.4308762      0.61576869      2.1610146       41.253210       
2.2710526       -1.4210491      0.59973194      2.1595289       41.717478       
2.2763158       -1.4082847      0.56934849      2.2051450       48.572427       
2.2815789       -1.3966619      0.54184092      2.2047323       54.297070       
2.2868421       -1.3844274      0.51340799      2.1893074       57.031226       
2.2921053       -1.3728937      0.48562917      2.1936331       60.273564       
2.2973684       -1.3628474      0.46248854      2.1296113       62.175071       
2.3026316       -1.3503252      0.42824976      2.1130070       63.962864       
2.3078947       -1.3400318      0.40605189      1.9770031       61.233171       
2.3131579       -1.3314951      0.38985909      1.9611147       61.572145       
2.3184211       -1.3201672      0.36103990      1.8598807       58.359620       
2.3236842       -1.3117932      0.34622286      1.8055287       56.853517       
2.3289474       -1.3013655      0.31836814      1.7187146       52.821386       
2.3342105       -1.2927368      0.30285639      1.6363662       49.903932       
2.3394737       -1.2845519      0.28473297      1.5859314       47.886095       
2.3447368       -1.2760702      0.26961364      1.5228890       43.577021       
2.3500000       -1.2679563      0.25280397      1.4750594       41.736857       
