Number of MC cycles: 980000
Number of Temperatures: 40
Number of Spins: 80
Temperature     Energy          Magnetisation   Heat_capacity   Susceptibility  
2.2500000       -1.4635693      0.67595088      1.9979182       32.491450       
2.2525641       -1.4571416      0.66010595      2.0470462       38.081837       
2.2551282       -1.4525437      0.65132276      2.1183002       43.078500       
2.2576923       -1.4461631      0.63640305      2.1509604       49.108747       
2.2602564       -1.4420709      0.62948836      2.2253459       55.521727       
2.2628205       -1.4350313      0.60734186      2.3165434       67.278734       
2.2653846       -1.4311408      0.61045999      2.2289714       55.068002       
2.2679487       -1.4239520      0.58519159      2.3153009       71.681283       
2.2705128       -1.4167356      0.56367265      2.4036586       81.717081       
2.2730769       -1.4122052      0.55780398      2.3339738       77.633964       
2.2756410       -1.4053372      0.53224294      2.4451185       93.763909       
2.2782051       -1.4003981      0.52414669      2.3855420       92.076788       
2.2807692       -1.3953214      0.51040158      2.3714252       93.621346       
2.2833333       -1.3891252      0.49446033      2.3517795       95.548092       
2.2858974       -1.3844939      0.48702875      2.3507994       96.718028       
2.2884615       -1.3749402      0.44751168      2.2717259       101.40270       
2.2910256       -1.3707256      0.43898138      2.2642423       102.78402       
2.2935897       -1.3646663      0.42055705      2.2469484       104.89300       
2.2961538       -1.3607108      0.41647489      2.2058371       103.64612       
2.2987179       -1.3544016      0.39664884      2.1560283       101.04850       
2.3012821       -1.3475674      0.37022514      2.0937613       100.46473       
2.3038462       -1.3426503      0.35488545      2.0089918       98.835568       
2.3064103       -1.3394052      0.35645543      1.9821976       94.195900       
2.3089744       -1.3331778      0.33522188      1.9539300       94.485349       
2.3115385       -1.3270216      0.31331338      1.9072103       92.787393       
2.3141026       -1.3225378      0.29781441      1.8464920       89.091004       
2.3166667       -1.3184385      0.29192088      1.7618868       82.974616       
2.3192308       -1.3137248      0.28051870      1.7658320       83.240468       
2.3217949       -1.3096239      0.27788586      1.7398050       76.772623       
2.3243590       -1.3049255      0.26140711      1.6563947       75.969916       
2.3269231       -1.3007568      0.25373137      1.6579815       72.350678       
2.3294872       -1.2960850      0.23552644      1.5860632       68.997146       
2.3320513       -1.2929258      0.23957217      1.5542779       64.663984       
2.3346154       -1.2885075      0.22919107      1.5411185       62.738517       
2.3371795       -1.2847330      0.21920746      1.5103281       60.742332       
2.3397436       -1.2810833      0.21534169      1.4926973       59.835604       
2.3423077       -1.2773152      0.21107684      1.4616897       56.480180       
2.3448718       -1.2731901      0.20330929      1.4373871       51.543643       
2.3474359       -1.2698062      0.20008880      1.4264120       50.083110       
2.3500000       -1.2665214      0.19066056      1.4015872       47.799482       
