Number of MC cycles: 980000
Number of Temperatures: 40
Number of Spins: 100
Temperature     Energy          Magnetisation   Heat_capacity   Susceptibility  
2.2500000       -1.4642671      0.67704816      2.0172623       39.715284       
2.2525641       -1.4574823      0.66037502      2.0723724       44.895568       
2.2551282       -1.4518273      0.64375106      2.2086022       67.021379       
2.2576923       -1.4466556      0.63840196      2.1633780       52.797679       
2.2602564       -1.4415725      0.62340418      2.2787027       71.150996       
2.2628205       -1.4354481      0.60759680      2.3353465       82.367321       
2.2653846       -1.4278506      0.57934289      2.4263905       107.58295       
2.2679487       -1.4254031      0.59364612      2.2687354       67.904961       
2.2705128       -1.4192507      0.57493207      2.3192899       86.959427       
2.2730769       -1.4121298      0.54827686      2.4061524       105.70696       
2.2756410       -1.4030288      0.50338987      2.4510547       138.96499       
2.2782051       -1.3981493      0.49702069      2.4361608       137.31084       
2.2807692       -1.3922802      0.47982696      2.4904460       137.25802       
2.2833333       -1.3854434      0.45346669      2.4462316       150.52312       
2.2858974       -1.3766170      0.40739149      2.3791583       161.34998       
2.2884615       -1.3729023      0.40961408      2.2745618       148.16235       
2.2910256       -1.3652831      0.37583447      2.2701297       154.76636       
2.2935897       -1.3640343      0.39038965      2.1989906       144.55437       
2.2961538       -1.3565317      0.36211702      2.1896417       144.39353       
2.2987179       -1.3522559      0.34941318      2.1529202       146.63078       
2.3012821       -1.3452562      0.32493242      2.0718961       135.99079       
2.3038462       -1.3396681      0.29638711      1.9787726       136.55610       
2.3064103       -1.3351467      0.29152533      1.9576391       127.25831       
2.3089744       -1.3296379      0.27174241      1.8194900       115.80557       
2.3115385       -1.3252101      0.26147712      1.8328434       114.24463       
2.3141026       -1.3215075      0.26052678      1.7983811       112.30622       
2.3166667       -1.3158548      0.23881414      1.7167972       100.33887       
2.3192308       -1.3121312      0.23509566      1.6686869       99.469695       
2.3217949       -1.3085208      0.23163750      1.6792978       95.502921       
2.3243590       -1.3035567      0.21710696      1.6113226       87.609294       
2.3269231       -1.2994767      0.20589602      1.5796874       82.544814       
2.3294872       -1.2957277      0.19851875      1.5615881       77.410925       
2.3320513       -1.2919683      0.19421736      1.5370952       74.948031       
2.3346154       -1.2871626      0.18050874      1.4973924       68.828488       
2.3371795       -1.2842734      0.18306722      1.4708186       67.812184       
2.3397436       -1.2796546      0.16912214      1.4536303       61.914807       
2.3423077       -1.2766567      0.16691261      1.4151001       58.132908       
2.3448718       -1.2727101      0.15777580      1.3976217       53.968688       
2.3474359       -1.2691420      0.15809358      1.3896651       54.694831       
2.3500000       -1.2655908      0.15330952      1.3725154       51.832857       
