Number of MC cycles: 980000
Number of Temperatures: 40
Number of Spins: 70
Temperature     Energy          Magnetisation   Heat_capacity   Susceptibility  
2.2500000       -1.4647178      0.68556836      1.8806189       18.752946       
2.2525641       -1.4589236      0.66629354      2.0277297       35.786174       
2.2551282       -1.4546694      0.66472941      1.9715499       28.615250       
2.2576923       -1.4458396      0.63842801      2.0964054       41.023296       
2.2602564       -1.4429092      0.63583443      2.1116350       42.049102       
2.2628205       -1.4377659      0.62967635      2.1612757       42.211699       
2.2653846       -1.4311284      0.60547596      2.2763716       57.062634       
2.2679487       -1.4250346      0.59603824      2.2550072       54.259842       
2.2705128       -1.4180651      0.57740897      2.2615254       60.005941       
2.2730769       -1.4146409      0.57243123      2.2558720       62.579637       
2.2756410       -1.4085874      0.55734847      2.2853395       65.548852       
2.2782051       -1.4025066      0.54031033      2.3147208       71.632063       
2.2807692       -1.3960063      0.52310613      2.3199876       75.779133       
2.2833333       -1.3918794      0.52278848      2.2346856       66.514339       
2.2858974       -1.3848356      0.49590666      2.2822128       77.233092       
2.2884615       -1.3791358      0.48305359      2.2387322       77.710828       
2.2910256       -1.3738671      0.47101019      2.2281790       79.085072       
2.2935897       -1.3675860      0.45197606      2.2107496       79.445032       
2.2961538       -1.3626093      0.43932085      2.1967694       80.875678       
2.2987179       -1.3569540      0.42434655      2.1178758       81.137636       
2.3012821       -1.3514050      0.40936168      2.0527918       79.062078       
2.3038462       -1.3442944      0.38242373      2.0411390       81.730977       
2.3064103       -1.3409859      0.38415057      2.0395286       79.409942       
2.3089744       -1.3363462      0.37287413      1.9966418       79.289918       
2.3115385       -1.3295613      0.34666725      1.9049324       77.497873       
2.3141026       -1.3236585      0.32684151      1.8694814       75.446403       
2.3166667       -1.3203351      0.32475207      1.8865796       75.733158       
2.3192308       -1.3160827      0.31614563      1.7836109       70.640195       
2.3217949       -1.3116026      0.31026139      1.7968935       69.391020       
2.3243590       -1.3061052      0.29116184      1.6986354       65.210953       
2.3269231       -1.3025565      0.28715180      1.6946887       65.540883       
2.3294872       -1.2986167      0.27836873      1.6408760       62.319376       
2.3320513       -1.2934708      0.26655869      1.5911051       56.772636       
2.3346154       -1.2894824      0.25894739      1.5802004       56.338328       
2.3371795       -1.2855568      0.25093417      1.5725365       56.337528       
2.3397436       -1.2820346      0.24471020      1.5035738       52.243033       
2.3423077       -1.2776137      0.23577170      1.5094905       51.075666       
2.3448718       -1.2740256      0.22890101      1.4425070       48.148749       
2.3474359       -1.2706573      0.22277834      1.4414840       47.612952       
2.3500000       -1.2663095      0.21561373      1.4007198       44.340119       
