Number of points: 1001
                Sun:                                            Mercury:                                        Venus:                                          Earth:                                          Mars:                                           Jupiter:                                        Saturn:                                         Uranus:                                         Neptun:                                         Pluto:                                          
Time            Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    
1.100000e-01    1.003487e-05    6.182765e-07    0.000000e+00    -4.324909e-01   5.650002e-01    0.000000e+00    3.433882e-01    6.921486e-01    0.000000e+00    7.916668e-01    6.518857e-01    0.000000e+00    1.427116e+00    5.488449e-01    0.000000e+00    5.191975e+00    2.993724e-01    0.000000e+00    9.537604e+00    2.273492e-01    0.000000e+00    1.918941e+01    1.578936e-01    0.000000e+00    3.005976e+01    1.259148e-01    0.000000e+00    3.952986e+01    1.101659e-01    0.000000e+00    
1.200000e-01    1.200101e-05    8.064173e-07    0.000000e+00    -5.230425e-01   5.464241e-01    0.000000e+00    2.771085e-01    7.297543e-01    0.000000e+00    7.519679e-01    7.019670e-01    0.000000e+00    1.408784e+00    5.965045e-01    0.000000e+00    5.190371e+00    3.265575e-01    0.000000e+00    9.537124e+00    2.480135e-01    0.000000e+00    1.918929e+01    1.722473e-01    0.000000e+00    3.005971e+01    1.373615e-01    0.000000e+00    3.952983e+01    1.201810e-01    0.000000e+00    
1.300000e-01    1.413385e-05    1.025724e-06    0.000000e+00    -6.088543e-01   5.216561e-01    0.000000e+00    2.078899e-01    7.614359e-01    0.000000e+00    7.093712e-01    7.496621e-01    0.000000e+00    1.388877e+00    6.435580e-01    0.000000e+00    5.188621e+00    3.537342e-01    0.000000e+00    9.536601e+00    2.686769e-01    0.000000e+00    1.918916e+01    1.866008e-01    0.000000e+00    3.005966e+01    1.488082e-01    0.000000e+00    3.952980e+01    1.301960e-01    0.000000e+00    
1.400000e-01    1.643124e-05    1.277570e-06    0.000000e+00    -6.898946e-01   4.919037e-01    0.000000e+00    1.363717e-01    7.870605e-01    0.000000e+00    6.640477e-01    7.948113e-01    0.000000e+00    1.367417e+00    6.899538e-01    0.000000e+00    5.186725e+00    3.809017e-01    0.000000e+00    9.536035e+00    2.893391e-01    0.000000e+00    1.918902e+01    2.009543e-01    0.000000e+00    3.005960e+01    1.602549e-01    0.000000e+00    3.952977e+01    1.402111e-01    0.000000e+00    
1.500000e-01    1.889106e-05    1.563136e-06    0.000000e+00    -7.662713e-01   4.581557e-01    0.000000e+00    6.318469e-02    8.065718e-01    0.000000e+00    6.161769e-01    8.372684e-01    0.000000e+00    1.344428e+00    7.356413e-01    0.000000e+00    5.184684e+00    4.080593e-01    0.000000e+00    9.535425e+00    3.100001e-01    0.000000e+00    1.918887e+01    2.153077e-01    0.000000e+00    3.005954e+01    1.717016e-01    0.000000e+00    3.952973e+01    1.502261e-01    0.000000e+00    
1.600000e-01    2.151122e-05    1.883412e-06    0.000000e+00    -8.381704e-01   4.212155e-01    0.000000e+00    -1.105828e-02   8.199867e-01    0.000000e+00    5.659466e-01    8.769011e-01    0.000000e+00    1.319937e+00    7.805705e-01    0.000000e+00    5.182497e+00    4.352062e-01    0.000000e+00    9.534772e+00    3.306598e-01    0.000000e+00    1.918871e+01    2.296609e-01    0.000000e+00    3.005947e+01    1.831482e-01    0.000000e+00    3.952970e+01    1.602411e-01    0.000000e+00    
1.700000e-01    2.428966e-05    2.239206e-06    0.000000e+00    -9.058186e-01   3.817337e-01    0.000000e+00    -8.577196e-02   8.273885e-01    0.000000e+00    5.135512e-01    9.135915e-01    0.000000e+00    1.293972e+00    8.246929e-01    0.000000e+00    5.180165e+00    4.623417e-01    0.000000e+00    9.534075e+00    3.513180e-01    0.000000e+00    1.918854e+01    2.440140e-01    0.000000e+00    3.005940e+01    1.945948e-01    0.000000e+00    3.952966e+01    1.702562e-01    0.000000e+00    
1.800000e-01    2.722441e-05    2.631156e-06    0.000000e+00    -9.694581e-01   3.402375e-01    0.000000e+00    -1.604061e-01   8.289204e-01    0.000000e+00    4.591905e-01    9.472365e-01    0.000000e+00    1.266562e+00    8.679607e-01    0.000000e+00    5.177687e+00    4.894649e-01    0.000000e+00    9.533334e+00    3.719748e-01    0.000000e+00    1.918836e+01    2.583670e-01    0.000000e+00    3.005933e+01    2.060414e-01    0.000000e+00    3.952961e+01    1.802712e-01    0.000000e+00    
1.900000e-01    3.031358e-05    3.059742e-06    0.000000e+00    -1.029332e+00   2.971547e-01    0.000000e+00    -2.344517e-01   8.247772e-01    0.000000e+00    4.030689e-01    9.777482e-01    0.000000e+00    1.237738e+00    9.103272e-01    0.000000e+00    5.175064e+00    5.165752e-01    0.000000e+00    9.532550e+00    3.926300e-01    0.000000e+00    1.918816e+01    2.727199e-01    0.000000e+00    3.005925e+01    2.174880e-01    0.000000e+00    3.952957e+01    1.902862e-01    0.000000e+00    
2.000000e-01    3.355537e-05    3.525307e-06    0.000000e+00    -1.085678e+00   2.528336e-01    0.000000e+00    -3.074446e-01   8.151968e-01    0.000000e+00    3.453933e-01    1.005054e+00    0.000000e+00    1.207533e+00    9.517471e-01    0.000000e+00    5.172296e+00    5.436717e-01    0.000000e+00    9.531722e+00    4.132835e-01    0.000000e+00    1.918796e+01    2.870726e-01    0.000000e+00    3.005917e+01    2.289345e-01    0.000000e+00    3.952952e+01    2.003011e-01    0.000000e+00    
