Number of steps: 1001
  Time            x-coordinate    y-coordinate    velocity (x)    velocity (y)
  5.80000000e-01  5.68521928e-01  1.67038353e-01 -7.22058607e+00  3.40440316e+00
  5.90000000e-01  4.90922259e-01  1.99497622e-01 -8.41120167e+00  2.98128247e+00
  6.00000000e-01  4.00297895e-01  2.26664003e-01 -9.87413257e+00  2.25702471e+00
  6.10000000e-01  2.93439608e-01  2.44638116e-01 -1.17246043e+01  9.31392865e-01
  6.20000000e-01  1.65805809e-01  2.45291860e-01 -1.40244226e+01 -1.80020258e+00
  6.30000000e-01  1.29511566e-02  2.08634064e-01 -1.55653487e+01 -8.17450565e+00
  6.40000000e-01 -1.45501165e-01  8.18017472e-02 -9.66968988e+00 -1.61551637e+01
  6.50000000e-01 -1.80442641e-01 -1.14469209e-01  1.56129764e-01 -1.73114325e+01
  6.60000000e-01 -1.42378569e-01 -2.64426903e-01  4.84396749e+00 -1.30688020e+01
  6.70000000e-01 -8.35632911e-02 -3.75845249e-01  6.17052013e+00 -9.84202476e+00
  6.80000000e-01 -1.89681667e-02 -4.61267398e-01  6.49756607e+00 -7.61682757e+00
  6.90000000e-01  4.63880304e-02 -5.28181800e-01  6.47418981e+00 -5.99198915e+00
  7.00000000e-01  1.10515629e-01 -5.81107181e-01  6.30736032e+00 -4.73833180e+00
  7.10000000e-01  1.72535237e-01 -6.22948436e-01  6.07586419e+00 -3.72884666e+00
  7.20000000e-01  2.32032913e-01 -6.55684115e-01  5.81364413e+00 -2.88890675e+00
  7.30000000e-01  2.88808119e-01 -6.80726572e-01  5.53652753e+00 -2.17192215e+00
  7.40000000e-01  3.42763464e-01 -6.99122557e-01  5.25220454e+00 -1.54725364e+00
  7.50000000e-01  3.93852210e-01 -7.11671644e-01  4.96440598e+00 -9.93860901e-01
  7.60000000e-01  4.42051583e-01 -7.18999775e-01  4.67481173e+00 -4.96765401e-01
  7.70000000e-01  4.87348445e-01 -7.21606952e-01  4.38398193e+00 -4.49764208e-02
  7.80000000e-01  5.29731222e-01 -7.19899304e-01  4.09183392e+00  3.69780470e-01
