       x:          approx:          exact:          
     0.15784216     0.63586454     -5.0800516
     0.15884116     0.63691627     -5.0800516
     0.15984016     0.63794761     -5.0800516
     0.16083916     0.63895877     -5.0800516
     0.16183816     0.63994995     -5.0800516
     0.16283716     0.64092135     -5.0800516
     0.16383616     0.64187316     -5.0800516
     0.16483516     0.64280558     -5.0800516
     0.16583417     0.64371881     -5.0800516
     0.16683317     0.64461302     -5.0800516
     0.16783217     0.64548842     -5.0800516
     0.16883117     0.64634518     -5.0800516
     0.16983017     0.64718350     -5.0800516
     0.17082917     0.64800356     -5.0800516
     0.17182817     0.64880553     -5.0800516
     0.17282717     0.64958960     -5.0800516
     0.17382617     0.65035595     -5.0800516
     0.17482517     0.65110475     -5.0800516
     0.17582418     0.65183618     -5.0800516
     0.17682318     0.65255041     -5.0800516
     0.17782218     0.65324761     -5.0800516
     0.17882118     0.65392794     -5.0800516
     0.17982018     0.65459159     -5.0800516
     0.18081918     0.65523871     -5.0800516
     0.18181818     0.65586946     -5.0800516
     0.18281718     0.65648402     -5.0800516
     0.18381618     0.65708253     -5.0800516
     0.18481518     0.65766517     -5.0800516
     0.18581419     0.65823209     -5.0800516
     0.18681319     0.65878344     -5.0800516
     0.18781219     0.65931938     -5.0800516
     0.18881119     0.65984006     -5.0800516
     0.18981019     0.66034564     -5.0800516
     0.19080919     0.66083626     -5.0800516
     0.19180819     0.66131208     -5.0800516
     0.19280719     0.66177324     -5.0800516
     0.19380619     0.66221988     -5.0800516
     0.19480519     0.66265215     -5.0800516
     0.19580420     0.66307020     -5.0800516
     0.19680320     0.66347416     -5.0800516
     0.19780220     0.66386417     -5.0800516
     0.19880120     0.66424038     -5.0800516
     0.19980020     0.66460292     -5.0800516
     0.20079920     0.66495192     -5.0800516
     0.20179820     0.66528753     -5.0800516
     0.20279720     0.66560987     -5.0800516
     0.20379620     0.66591907     -5.0800516
     0.20479520     0.66621528     -5.0800516
     0.20579421     0.66649860     -5.0800516
     0.20679321     0.66676919     -5.0800516
     0.20779221     0.66702715     -5.0800516
     0.20879121     0.66727262     -5.0800516
     0.20979021     0.66750572     -5.0800516
     0.21078921     0.66772657     -5.0800516
     0.21178821     0.66793529     -5.0800516
     0.21278721     0.66813201     -5.0800516
     0.21378621     0.66831685     -5.0800516
     0.21478521     0.66848992     -5.0800516
     0.21578422     0.66865134     -5.0800516
     0.21678322     0.66880122     -5.0800516
     0.21778222     0.66893969     -5.0800516
     0.21878122     0.66906684     -5.0800516
     0.21978022     0.66918281     -5.0800516
     0.22077922     0.66928769     -5.0800516
     0.22177822     0.66938160     -5.0800516
     0.22277722     0.66946465     -5.0800516
     0.22377622     0.66953694     -5.0800516
     0.22477522     0.66959858     -5.0800516
     0.22577423     0.66964968     -5.0800516
     0.22677323     0.66969034     -5.0800516
     0.22777223     0.66972067     -5.0800516
     0.22877123     0.66974076     -5.0800516
     0.22977023     0.66975073     -5.0800516
     0.23076923     0.66975067     -5.0800516
     0.23176823     0.66974067     -5.0800516
     0.23276723     0.66972085     -5.0800516
     0.23376623     0.66969130     -5.0800516
     0.23476523     0.66965210     -5.0800516
     0.23576424     0.66960337     -5.0800516
     0.23676324     0.66954520     -5.0800516
     0.23776224     0.66947767     -5.0800516
     0.23876124     0.66940088     -5.0800516
     0.23976024     0.66931493     -5.0800516
     0.24075924     0.66921990     -5.0800516
     0.24175824     0.66911588     -5.0800516
     0.24275724     0.66900297     -5.0800516
     0.24375624     0.66888125     -5.0800516
     0.24475524     0.66875081     -5.0800516
     0.24575425     0.66861174     -5.0800516
     0.24675325     0.66846412     -5.0800516
     0.24775225     0.66830804     -5.0800516
     0.24875125     0.66814358     -5.0800516
     0.24975025     0.66797083     -5.0800516
     0.25074925     0.66778986     -5.0800516
     0.25174825     0.66760076     -5.0800516
     0.25274725     0.66740361     -5.0800516
     0.25374625     0.66719849     -5.0800516
     0.25474525     0.66698548     -5.0800516
     0.25574426     0.66676466     -5.0800516
     0.25674326     0.66653610     -5.0800516
     0.25774226     0.66629989     -5.0800516
     0.25874126     0.66605609     -5.0800516
     0.25974026     0.66580479     -5.0800516
     0.26073926     0.66554605     -5.0800516
     0.26173826     0.66527996     -5.0800516
     0.26273726     0.66500658     -5.0800516
     0.26373626     0.66472599     -5.0800516
     0.26473526     0.66443825     -5.0800516
     0.26573427     0.66414345     -5.0800516
     0.26673327     0.66384165     -5.0800516
     0.26773227     0.66353292     -5.0800516
     0.26873127     0.66321733     -5.0800516
     0.26973027     0.66289494     -5.0800516
     0.27072927     0.66256583     -5.0800516
     0.27172827     0.66223007     -5.0800516
     0.27272727     0.66188771     -5.0800516
     0.27372627     0.66153882     -5.0800516
     0.27472527     0.66118347     -5.0800516
     0.27572428     0.66082172     -5.0800516
     0.27672328     0.66045364     -5.0800516
     0.27772228     0.66007929     -5.0800516
     0.27872128     0.65969873     -5.0800516
     0.27972028     0.65931202     -5.0800516
     0.28071928     0.65891923     -5.0800516
     0.28171828     0.65852041     -5.0800516
     0.28271728     0.65811562     -5.0800516
     0.28371628     0.65770493     -5.0800516
     0.28471528     0.65728839     -5.0800516
     0.28571429     0.65686607     -5.0800516
     0.28671329     0.65643801     -5.0800516
     0.28771229     0.65600427     -5.0800516
     0.28871129     0.65556492     -5.0800516
     0.28971029     0.65512000     -5.0800516
     0.29070929     0.65466958     -5.0800516
     0.29170829     0.65421371     -5.0800516
     0.29270729     0.65375243     -5.0800516
     0.29370629     0.65328581     -5.0800516
     0.29470529     0.65281390     -5.0800516
     0.29570430     0.65233675     -5.0800516
     0.29670330     0.65185442     -5.0800516
     0.29770230     0.65136695     -5.0800516
     0.29870130     0.65087439     -5.0800516
     0.29970030     0.65037680     -5.0800516
