Number of time steps: 1000
Initial temperature [K]: 1.500000e+02
Time [ps]                     Kinetic Energy [epsilon]      Potential Energy [epsilon]    Total Energy [epsilon]        Temperature [K]               Diffusion constant [sigma*sqrt(epsilon/u)]
0.000000e+00                  8.792594e+02                  6.953260e-310                 8.792594e+02                  1.401907e+02                  -nan                          
1.000000e-02                  8.782820e+02                  -3.511495e+03                 -2.633213e+03                 1.400349e+02                  4.296967e-04                  
2.000000e-02                  8.752858e+02                  -3.508510e+03                 -2.633225e+03                 1.395572e+02                  8.584390e-04                  
3.000000e-02                  8.701146e+02                  -3.503358e+03                 -2.633244e+03                 1.387326e+02                  1.285205e-03                  
4.000000e-02                  8.625462e+02                  -3.495817e+03                 -2.633271e+03                 1.375259e+02                  1.708883e-03                  
5.000000e-02                  8.522679e+02                  -3.485574e+03                 -2.633307e+03                 1.358871e+02                  2.128221e-03                  
6.000000e-02                  8.388830e+02                  -3.472232e+03                 -2.633349e+03                 1.337530e+02                  2.541776e-03                  
7.000000e-02                  8.219297e+02                  -3.455326e+03                 -2.633397e+03                 1.310500e+02                  2.947862e-03                  
8.000000e-02                  8.009197e+02                  -3.434364e+03                 -2.633445e+03                 1.277001e+02                  3.344505e-03                  
9.000000e-02                  7.754110e+02                  -3.408896e+03                 -2.633485e+03                 1.236329e+02                  3.729400e-03                  
1.000000e-01                  7.451270e+02                  -3.378634e+03                 -2.633507e+03                 1.188044e+02                  4.099903e-03                  
1.100000e-01                  7.101241e+02                  -3.343621e+03                 -2.633497e+03                 1.132235e+02                  4.453058e-03                  
1.200000e-01                  6.709776e+02                  -3.304419e+03                 -2.633442e+03                 1.069819e+02                  4.785693e-03                  
1.300000e-01                  6.289128e+02                  -3.262255e+03                 -2.633343e+03                 1.002750e+02                  5.094609e-03                  
1.400000e-01                  5.857766e+02                  -3.218990e+03                 -2.633214e+03                 9.339728e+01                  5.376842e-03                  
1.500000e-01                  5.438006e+02                  -3.176881e+03                 -2.633081e+03                 8.670456e+01                  5.629977e-03                  
1.600000e-01                  5.052169e+02                  -3.138187e+03                 -2.632970e+03                 8.055269e+01                  5.852425e-03                  
1.700000e-01                  4.718713e+02                  -3.104770e+03                 -2.632898e+03                 7.523601e+01                  6.043608e-03                  
1.800000e-01                  4.449556e+02                  -3.077829e+03                 -2.632873e+03                 7.094453e+01                  6.203995e-03                  
1.900000e-01                  4.249101e+02                  -3.057800e+03                 -2.632890e+03                 6.774843e+01                  6.335011e-03                  
2.000000e-01                  4.114891e+02                  -3.044425e+03                 -2.632936e+03                 6.560857e+01                  6.438841e-03                  
2.100000e-01                  4.039397e+02                  -3.036938e+03                 -2.632999e+03                 6.440488e+01                  6.518184e-03                  
2.200000e-01                  4.012144e+02                  -3.034280e+03                 -2.633066e+03                 6.397034e+01                  6.576005e-03                  
2.300000e-01                  4.021562e+02                  -3.035286e+03                 -2.633130e+03                 6.412051e+01                  6.615320e-03                  
2.400000e-01                  4.056331e+02                  -3.038819e+03                 -2.633186e+03                 6.467487e+01                  6.639025e-03                  
2.500000e-01                  4.106292e+02                  -3.043860e+03                 -2.633230e+03                 6.547146e+01                  6.649785e-03                  
2.600000e-01                  4.163106e+02                  -3.049571e+03                 -2.633261e+03                 6.637732e+01                  6.649959e-03                  
2.700000e-01                  4.220710e+02                  -3.055347e+03                 -2.633276e+03                 6.729576e+01                  6.641569e-03                  
2.800000e-01                  4.275501e+02                  -3.060827e+03                 -2.633277e+03                 6.816937e+01                  6.626303e-03                  
2.900000e-01                  4.326106e+02                  -3.065879e+03                 -2.633269e+03                 6.897622e+01                  6.605546e-03                  
3.000000e-01                  4.372657e+02                  -3.070524e+03                 -2.633258e+03                 6.971843e+01                  6.580429e-03                  
3.100000e-01                  4.415773e+02                  -3.074830e+03                 -2.633252e+03                 7.040588e+01                  6.551880e-03                  
3.200000e-01                  4.455677e+02                  -3.078820e+03                 -2.633253e+03                 7.104211e+01                  6.520672e-03                  
3.300000e-01                  4.491839e+02                  -3.082441e+03                 -2.633257e+03                 7.161869e+01                  6.487457e-03                  
3.400000e-01                  4.523194e+02                  -3.085582e+03                 -2.633263e+03                 7.211863e+01                  6.452774e-03                  
3.500000e-01                  4.548657e+02                  -3.088131e+03                 -2.633266e+03                 7.252461e+01                  6.417064e-03                  
3.600000e-01                  4.567623e+02                  -3.090026e+03                 -2.633263e+03                 7.282701e+01                  6.380667e-03                  
3.700000e-01                  4.580295e+02                  -3.091285e+03                 -2.633255e+03                 7.302906e+01                  6.343831e-03                  
3.800000e-01                  4.587767e+02                  -3.092020e+03                 -2.633243e+03                 7.314819e+01                  6.306730e-03                  
3.900000e-01                  4.591849e+02                  -3.092414e+03                 -2.633229e+03                 7.321327e+01                  6.269476e-03                  
4.000000e-01                  4.594609e+02                  -3.092678e+03                 -2.633217e+03                 7.325728e+01                  6.232150e-03                  
4.100000e-01                  4.597731e+02                  -3.092986e+03                 -2.633213e+03                 7.330706e+01                  6.194817e-03                  
4.200000e-01                  4.601953e+02                  -3.093412e+03                 -2.633216e+03                 7.337438e+01                  6.157546e-03                  
4.300000e-01                  4.606874e+02                  -3.093913e+03                 -2.633226e+03                 7.345284e+01                  6.120410e-03                  
4.400000e-01                  4.611263e+02                  -3.094362e+03                 -2.633236e+03                 7.352282e+01                  6.083487e-03                  
4.500000e-01                  4.613701e+02                  -3.094613e+03                 -2.633243e+03                 7.356168e+01                  6.046843e-03                  
4.600000e-01                  4.613218e+02                  -3.094566e+03                 -2.633244e+03                 7.355398e+01                  6.010525e-03                  
4.700000e-01                  4.609634e+02                  -3.094204e+03                 -2.633241e+03                 7.349684e+01                  5.974557e-03                  
4.800000e-01                  4.603498e+02                  -3.093584e+03                 -2.633234e+03                 7.339901e+01                  5.938939e-03                  
4.900000e-01                  4.595731e+02                  -3.092801e+03                 -2.633228e+03                 7.327517e+01                  5.903654e-03                  
5.000000e-01                  4.587216e+02                  -3.091946e+03                 -2.633224e+03                 7.313940e+01                  5.868677e-03                  
5.100000e-01                  4.578531e+02                  -3.091075e+03                 -2.633222e+03                 7.300092e+01                  5.833983e-03                  
5.200000e-01                  4.569872e+02                  -3.090210e+03                 -2.633223e+03                 7.286287e+01                  5.799545e-03                  
5.300000e-01                  4.561126e+02                  -3.089337e+03                 -2.633225e+03                 7.272343e+01                  5.765340e-03                  
5.400000e-01                  4.552002e+02                  -3.088427e+03                 -2.633227e+03                 7.257794e+01                  5.731341e-03                  
5.500000e-01                  4.542165e+02                  -3.087444e+03                 -2.633228e+03                 7.242110e+01                  5.697515e-03                  
5.600000e-01                  4.531366e+02                  -3.086365e+03                 -2.633228e+03                 7.224892e+01                  5.663825e-03                  
5.700000e-01                  4.519547e+02                  -3.085181e+03                 -2.633227e+03                 7.206048e+01                  5.630224e-03                  
5.800000e-01                  4.506931e+02                  -3.083916e+03                 -2.633223e+03                 7.185933e+01                  5.596657e-03                  
5.900000e-01                  4.494078e+02                  -3.082625e+03                 -2.633217e+03                 7.165439e+01                  5.563061e-03                  
6.000000e-01                  4.481848e+02                  -3.081395e+03                 -2.633210e+03                 7.145940e+01                  5.529375e-03                  
6.100000e-01                  4.471246e+02                  -3.080328e+03                 -2.633204e+03                 7.129036e+01                  5.495541e-03                  
6.200000e-01                  4.463156e+02                  -3.079515e+03                 -2.633200e+03                 7.116136e+01                  5.461513e-03                  
6.300000e-01                  4.458073e+02                  -3.079007e+03                 -2.633200e+03                 7.108033e+01                  5.427259e-03                  
6.400000e-01                  4.455955e+02                  -3.078799e+03                 -2.633203e+03                 7.104655e+01                  5.392770e-03                  
6.500000e-01                  4.456225e+02                  -3.078832e+03                 -2.633210e+03                 7.105085e+01                  5.358052e-03                  
6.600000e-01                  4.457920e+02                  -3.079009e+03                 -2.633217e+03                 7.107788e+01                  5.323127e-03                  
6.700000e-01                  4.459902e+02                  -3.079214e+03                 -2.633224e+03                 7.110949e+01                  5.288024e-03                  
6.800000e-01                  4.461077e+02                  -3.079337e+03                 -2.633229e+03                 7.112822e+01                  5.252773e-03                  
6.900000e-01                  4.460578e+02                  -3.079290e+03                 -2.633233e+03                 7.112027e+01                  5.217402e-03                  
7.000000e-01                  4.457915e+02                  -3.079024e+03                 -2.633233e+03                 7.107780e+01                  5.181928e-03                  
7.100000e-01                  4.453060e+02                  -3.078536e+03                 -2.633230e+03                 7.100039e+01                  5.146359e-03                  
7.200000e-01                  4.446482e+02                  -3.077873e+03                 -2.633225e+03                 7.089552e+01                  5.110693e-03                  
7.300000e-01                  4.439117e+02                  -3.077128e+03                 -2.633217e+03                 7.077808e+01                  5.074917e-03                  
7.400000e-01                  4.432312e+02                  -3.076438e+03                 -2.633207e+03                 7.066959e+01                  5.039017e-03                  
7.500000e-01                  4.427734e+02                  -3.075969e+03                 -2.633195e+03                 7.059658e+01                  5.002981e-03                  
7.600000e-01                  4.427186e+02                  -3.075903e+03                 -2.633185e+03                 7.058785e+01                  4.966804e-03                  
7.700000e-01                  4.432318e+02                  -3.076410e+03                 -2.633178e+03                 7.066968e+01                  4.930500e-03                  
7.800000e-01                  4.444234e+02                  -3.077600e+03                 -2.633177e+03                 7.085968e+01                  4.894099e-03                  
7.900000e-01                  4.463151e+02                  -3.079497e+03                 -2.633182e+03                 7.116129e+01                  4.857658e-03                  
8.000000e-01                  4.488286e+02                  -3.082021e+03                 -2.633193e+03                 7.156204e+01                  4.821257e-03                  
8.100000e-01                  4.518065e+02                  -3.085012e+03                 -2.633205e+03                 7.203684e+01                  4.784992e-03                  
8.200000e-01                  4.550544e+02                  -3.088271e+03                 -2.633217e+03                 7.255470e+01                  4.748968e-03                  
8.300000e-01                  4.583855e+02                  -3.091611e+03                 -2.633226e+03                 7.308581e+01                  4.713294e-03                  
8.400000e-01                  4.616455e+02                  -3.094877e+03                 -2.633232e+03                 7.360559e+01                  4.678070e-03                  
8.500000e-01                  4.647148e+02                  -3.097951e+03                 -2.633236e+03                 7.409496e+01                  4.643388e-03                  
8.600000e-01                  4.674943e+02                  -3.100735e+03                 -2.633240e+03                 7.453813e+01                  4.609326e-03                  
8.700000e-01                  4.698873e+02                  -3.103133e+03                 -2.633246e+03                 7.491968e+01                  4.575950e-03                  
8.800000e-01                  4.717875e+02                  -3.105039e+03                 -2.633252e+03                 7.522265e+01                  4.543311e-03                  
8.900000e-01                  4.730770e+02                  -3.106336e+03                 -2.633259e+03                 7.542826e+01                  4.511442e-03                  
9.000000e-01                  4.736342e+02                  -3.106900e+03                 -2.633266e+03                 7.551710e+01                  4.480361e-03                  
9.100000e-01                  4.733495e+02                  -3.106620e+03                 -2.633271e+03                 7.547170e+01                  4.450063e-03                  
9.200000e-01                  4.721474e+02                  -3.105420e+03                 -2.633273e+03                 7.528004e+01                  4.420520e-03                  
9.300000e-01                  4.700101e+02                  -3.103280e+03                 -2.633270e+03                 7.493926e+01                  4.391676e-03                  
9.400000e-01                  4.669957e+02                  -3.100258e+03                 -2.633262e+03                 7.445863e+01                  4.363453e-03                  
9.500000e-01                  4.632462e+02                  -3.096496e+03                 -2.633249e+03                 7.386081e+01                  4.335747e-03                  
9.600000e-01                  4.589805e+02                  -3.092214e+03                 -2.633233e+03                 7.318068e+01                  4.308438e-03                  
9.700000e-01                  4.544715e+02                  -3.087688e+03                 -2.633216e+03                 7.246175e+01                  4.281394e-03                  
9.800000e-01                  4.500110e+02                  -3.083211e+03                 -2.633200e+03                 7.175056e+01                  4.254480e-03                  
9.900000e-01                  4.458733e+02                  -3.079061e+03                 -2.633187e+03                 7.109084e+01                  4.227570e-03                  
1.000000e+00                  4.422875e+02                  -3.075466e+03                 -2.633178e+03                 7.051913e+01                  4.200553e-03                  
1.010000e+00                  4.394279e+02                  -3.072600e+03                 -2.633172e+03                 7.006318e+01                  4.173337e-03                  
1.020000e+00                  4.374183e+02                  -3.070586e+03                 -2.633168e+03                 6.974276e+01                  4.145857e-03                  
1.030000e+00                  4.363384e+02                  -3.069504e+03                 -2.633166e+03                 6.957058e+01                  4.118074e-03                  
1.040000e+00                  4.362210e+02                  -3.069389e+03                 -2.633168e+03                 6.955187e+01                  4.089976e-03                  
1.050000e+00                  4.370388e+02                  -3.070213e+03                 -2.633174e+03                 6.968225e+01                  4.061579e-03                  
1.060000e+00                  4.386912e+02                  -3.071877e+03                 -2.633185e+03                 6.994572e+01                  4.032922e-03                  
1.070000e+00                  4.410058e+02                  -3.074206e+03                 -2.633200e+03                 7.031476e+01                  4.004064e-03                  
1.080000e+00                  4.437566e+02                  -3.076972e+03                 -2.633216e+03                 7.075336e+01                  3.975078e-03                  
1.090000e+00                  4.466973e+02                  -3.079928e+03                 -2.633230e+03                 7.122223e+01                  3.946041e-03                  
1.100000e+00                  4.495971e+02                  -3.082839e+03                 -2.633242e+03                 7.168457e+01                  3.917031e-03                  
1.110000e+00                  4.522703e+02                  -3.085520e+03                 -2.633249e+03                 7.211079e+01                  3.888115e-03                  
1.120000e+00                  4.545938e+02                  -3.087846e+03                 -2.633253e+03                 7.248126e+01                  3.859348e-03                  
1.130000e+00                  4.565086e+02                  -3.089761e+03                 -2.633253e+03                 7.278656e+01                  3.830772e-03                  
1.140000e+00                  4.580087e+02                  -3.091259e+03                 -2.633250e+03                 7.302574e+01                  3.802411e-03                  
1.150000e+00                  4.591302e+02                  -3.092375e+03                 -2.633245e+03                 7.320454e+01                  3.774277e-03                  
1.160000e+00                  4.599473e+02                  -3.093185e+03                 -2.633238e+03                 7.333482e+01                  3.746371e-03                  
1.170000e+00                  4.605700e+02                  -3.093799e+03                 -2.633229e+03                 7.343411e+01                  3.718684e-03                  
1.180000e+00                  4.611257e+02                  -3.094347e+03                 -2.633221e+03                 7.352271e+01                  3.691206e-03                  
1.190000e+00                  4.617227e+02                  -3.094940e+03                 -2.633218e+03                 7.361790e+01                  3.663928e-03                  
1.200000e+00                  4.624138e+02                  -3.095633e+03                 -2.633219e+03                 7.372809e+01                  3.636846e-03                  
1.210000e+00                  4.631817e+02                  -3.096405e+03                 -2.633224e+03                 7.385053e+01                  3.609962e-03                  
1.220000e+00                  4.639541e+02                  -3.097184e+03                 -2.633230e+03                 7.397368e+01                  3.583284e-03                  
1.230000e+00                  4.646350e+02                  -3.097870e+03                 -2.633235e+03                 7.408224e+01                  3.556821e-03                  
1.240000e+00                  4.651356e+02                  -3.098374e+03                 -2.633238e+03                 7.416206e+01                  3.530584e-03                  
1.250000e+00                  4.653965e+02                  -3.098635e+03                 -2.633238e+03                 7.420366e+01                  3.504576e-03                  
1.260000e+00                  4.653973e+02                  -3.098633e+03                 -2.633236e+03                 7.420379e+01                  3.478799e-03                  
1.270000e+00                  4.651557e+02                  -3.098388e+03                 -2.633232e+03                 7.416527e+01                  3.453247e-03                  
1.280000e+00                  4.647176e+02                  -3.097945e+03                 -2.633227e+03                 7.409541e+01                  3.427910e-03                  
1.290000e+00                  4.641434e+02                  -3.097365e+03                 -2.633222e+03                 7.400386e+01                  3.402775e-03                  
1.300000e+00                  4.634988e+02                  -3.096716e+03                 -2.633217e+03                 7.390109e+01                  3.377828e-03                  
1.310000e+00                  4.628533e+02                  -3.096065e+03                 -2.633212e+03                 7.379817e+01                  3.353055e-03                  
1.320000e+00                  4.622837e+02                  -3.095490e+03                 -2.633206e+03                 7.370735e+01                  3.328441e-03                  
1.330000e+00                  4.618732e+02                  -3.095074e+03                 -2.633201e+03                 7.364190e+01                  3.303974e-03                  
1.340000e+00                  4.617014e+02                  -3.094898e+03                 -2.633197e+03                 7.361451e+01                  3.279646e-03                  
1.350000e+00                  4.618260e+02                  -3.095021e+03                 -2.633196e+03                 7.363437e+01                  3.255452e-03                  
1.360000e+00                  4.622657e+02                  -3.095463e+03                 -2.633197e+03                 7.370447e+01                  3.231395e-03                  
1.370000e+00                  4.629918e+02                  -3.096194e+03                 -2.633202e+03                 7.382025e+01                  3.207483e-03                  
1.380000e+00                  4.639327e+02                  -3.097141e+03                 -2.633209e+03                 7.397027e+01                  3.183729e-03                  
1.390000e+00                  4.649878e+02                  -3.098204e+03                 -2.633216e+03                 7.413849e+01                  3.160151e-03                  
1.400000e+00                  4.660469e+02                  -3.099269e+03                 -2.633222e+03                 7.430735e+01                  3.136769e-03                  
1.410000e+00                  4.670068e+02                  -3.100234e+03                 -2.633227e+03                 7.446041e+01                  3.113603e-03                  
1.420000e+00                  4.677839e+02                  -3.101014e+03                 -2.633230e+03                 7.458431e+01                  3.090669e-03                  
1.430000e+00                  4.683217e+02                  -3.101553e+03                 -2.633231e+03                 7.467005e+01                  3.067983e-03                  
1.440000e+00                  4.685953e+02                  -3.101826e+03                 -2.633230e+03                 7.471368e+01                  3.045553e-03                  
1.450000e+00                  4.686091e+02                  -3.101838e+03                 -2.633228e+03                 7.471589e+01                  3.023385e-03                  
1.460000e+00                  4.683869e+02                  -3.101613e+03                 -2.633227e+03                 7.468046e+01                  3.001478e-03                  
1.470000e+00                  4.679557e+02                  -3.101181e+03                 -2.633226e+03                 7.461170e+01                  2.979829e-03                  
1.480000e+00                  4.673321e+02                  -3.100558e+03                 -2.633226e+03                 7.451228e+01                  2.958432e-03                  
1.490000e+00                  4.665214e+02                  -3.099748e+03                 -2.633227e+03                 7.438302e+01                  2.937277e-03                  
1.500000e+00                  4.655292e+02                  -3.098756e+03                 -2.633226e+03                 7.422481e+01                  2.916349e-03                  
1.510000e+00                  4.643796e+02                  -3.097604e+03                 -2.633224e+03                 7.404153e+01                  2.895630e-03                  
1.520000e+00                  4.631287e+02                  -3.096348e+03                 -2.633219e+03                 7.384207e+01                  2.875097e-03                  
1.530000e+00                  4.618652e+02                  -3.095078e+03                 -2.633213e+03                 7.364062e+01                  2.854723e-03                  
1.540000e+00                  4.607010e+02                  -3.093908e+03                 -2.633207e+03                 7.345500e+01                  2.834481e-03                  
1.550000e+00                  4.597568e+02                  -3.092957e+03                 -2.633200e+03                 7.330446e+01                  2.814342e-03                  
1.560000e+00                  4.591507e+02                  -3.092345e+03                 -2.633194e+03                 7.320781e+01                  2.794284e-03                  
1.570000e+00                  4.589915e+02                  -3.092180e+03                 -2.633188e+03                 7.318243e+01                  2.774288e-03                  
1.580000e+00                  4.593735e+02                  -3.092557e+03                 -2.633184e+03                 7.324334e+01                  2.754345e-03                  
1.590000e+00                  4.603671e+02                  -3.093549e+03                 -2.633181e+03                 7.340177e+01                  2.734456e-03                  
1.600000e+00                  4.620061e+02                  -3.095188e+03                 -2.633182e+03                 7.366308e+01                  2.714632e-03                  
1.610000e+00                  4.642744e+02                  -3.097461e+03                 -2.633186e+03                 7.402476e+01                  2.694896e-03                  
1.620000e+00                  4.670974e+02                  -3.100291e+03                 -2.633194e+03                 7.447486e+01                  2.675282e-03                  
1.630000e+00                  4.703393e+02                  -3.103545e+03                 -2.633205e+03                 7.499176e+01                  2.655833e-03                  
1.640000e+00                  4.738130e+02                  -3.107031e+03                 -2.633218e+03                 7.554559e+01                  2.636598e-03                  
1.650000e+00                  4.772995e+02                  -3.110531e+03                 -2.633232e+03                 7.610150e+01                  2.617631e-03                  
1.660000e+00                  4.805768e+02                  -3.113820e+03                 -2.633243e+03                 7.662403e+01                  2.598980e-03                  
1.670000e+00                  4.834452e+02                  -3.116698e+03                 -2.633253e+03                 7.708137e+01                  2.580693e-03                  
1.680000e+00                  4.857454e+02                  -3.119004e+03                 -2.633259e+03                 7.744813e+01                  2.562806e-03                  
1.690000e+00                  4.873664e+02                  -3.120629e+03                 -2.633262e+03                 7.770657e+01                  2.545346e-03                  
1.700000e+00                  4.882470e+02                  -3.121510e+03                 -2.633263e+03                 7.784698e+01                  2.528328e-03                  
1.710000e+00                  4.883769e+02                  -3.121637e+03                 -2.633260e+03                 7.786770e+01                  2.511757e-03                  
1.720000e+00                  4.877957e+02                  -3.121050e+03                 -2.633255e+03                 7.777503e+01                  2.495623e-03                  
1.730000e+00                  4.865918e+02                  -3.119838e+03                 -2.633247e+03                 7.758308e+01                  2.479908e-03                  
1.740000e+00                  4.848975e+02                  -3.118134e+03                 -2.633237e+03                 7.731293e+01                  2.464586e-03                  
1.750000e+00                  4.828793e+02                  -3.116105e+03                 -2.633225e+03                 7.699115e+01                  2.449621e-03                  
1.760000e+00                  4.807247e+02                  -3.113938e+03                 -2.633214e+03                 7.664762e+01                  2.434975e-03                  
1.770000e+00                  4.786251e+02                  -3.111828e+03                 -2.633203e+03                 7.631285e+01                  2.420610e-03                  
1.780000e+00                  4.767579e+02                  -3.109952e+03                 -2.633194e+03                 7.601513e+01                  2.406487e-03                  
1.790000e+00                  4.752675e+02                  -3.108456e+03                 -2.633188e+03                 7.577751e+01                  2.392576e-03                  
1.800000e+00                  4.742485e+02                  -3.107435e+03                 -2.633187e+03                 7.561504e+01                  2.378850e-03                  
1.810000e+00                  4.737300e+02                  -3.106920e+03                 -2.633190e+03                 7.553237e+01                  2.365294e-03                  
1.820000e+00                  4.736667e+02                  -3.106864e+03                 -2.633197e+03                 7.552228e+01                  2.351902e-03                  
1.830000e+00                  4.739427e+02                  -3.107151e+03                 -2.633208e+03                 7.556628e+01                  2.338675e-03                  
1.840000e+00                  4.743896e+02                  -3.107610e+03                 -2.633221e+03                 7.563754e+01                  2.325623e-03                  
1.850000e+00                  4.748172e+02                  -3.108050e+03                 -2.633232e+03                 7.570572e+01                  2.312758e-03                  
1.860000e+00                  4.750489e+02                  -3.108290e+03                 -2.633241e+03                 7.574265e+01                  2.300091e-03                  
1.870000e+00                  4.749521e+02                  -3.108197e+03                 -2.633245e+03                 7.572722e+01                  2.287630e-03                  
1.880000e+00                  4.744614e+02                  -3.107705e+03                 -2.633244e+03                 7.564898e+01                  2.275378e-03                  
1.890000e+00                  4.735909e+02                  -3.106829e+03                 -2.633238e+03                 7.551020e+01                  2.263332e-03                  
1.900000e+00                  4.724352e+02                  -3.105662e+03                 -2.633227e+03                 7.532593e+01                  2.251479e-03                  
1.910000e+00                  4.711559e+02                  -3.104370e+03                 -2.633214e+03                 7.512195e+01                  2.239806e-03                  
1.920000e+00                  4.699521e+02                  -3.103153e+03                 -2.633201e+03                 7.493001e+01                  2.228294e-03                  
1.930000e+00                  4.690170e+02                  -3.102208e+03                 -2.633191e+03                 7.478092e+01                  2.216927e-03                  
1.940000e+00                  4.684897e+02                  -3.101678e+03                 -2.633188e+03                 7.469685e+01                  2.205692e-03                  
1.950000e+00                  4.684169e+02                  -3.101609e+03                 -2.633192e+03                 7.468525e+01                  2.194582e-03                  
1.960000e+00                  4.687399e+02                  -3.101942e+03                 -2.633202e+03                 7.473675e+01                  2.183599e-03                  
1.970000e+00                  4.693151e+02                  -3.102529e+03                 -2.633214e+03                 7.482844e+01                  2.172747e-03                  
1.980000e+00                  4.699611e+02                  -3.103186e+03                 -2.633225e+03                 7.493144e+01                  2.162032e-03                  
1.990000e+00                  4.705132e+02                  -3.103746e+03                 -2.633232e+03                 7.501947e+01                  2.151463e-03                  
2.000000e+00                  4.708619e+02                  -3.104097e+03                 -2.633235e+03                 7.507507e+01                  2.141041e-03                  
2.010000e+00                  4.709628e+02                  -3.104198e+03                 -2.633235e+03                 7.509117e+01                  2.130767e-03                  
2.020000e+00                  4.708187e+02                  -3.104052e+03                 -2.633234e+03                 7.506819e+01                  2.120633e-03                  
2.030000e+00                  4.704449e+02                  -3.103680e+03                 -2.633235e+03                 7.500858e+01                  2.110631e-03                  
2.040000e+00                  4.698369e+02                  -3.103075e+03                 -2.633238e+03                 7.491164e+01                  2.100748e-03                  
2.050000e+00                  4.689555e+02                  -3.102200e+03                 -2.633244e+03                 7.477111e+01                  2.090970e-03                  
2.060000e+00                  4.677359e+02                  -3.100987e+03                 -2.633251e+03                 7.457665e+01                  2.081279e-03                  
2.070000e+00                  4.661147e+02                  -3.099370e+03                 -2.633255e+03                 7.431817e+01                  2.071654e-03                  
2.080000e+00                  4.640638e+02                  -3.097319e+03                 -2.633255e+03                 7.399118e+01                  2.062069e-03                  
2.090000e+00                  4.616168e+02                  -3.094868e+03                 -2.633251e+03                 7.360102e+01                  2.052492e-03                  
2.100000e+00                  4.588827e+02                  -3.092125e+03                 -2.633242e+03                 7.316508e+01                  2.042883e-03                  
2.110000e+00                  4.560536e+02                  -3.089280e+03                 -2.633227e+03                 7.271402e+01                  2.033196e-03                  
2.120000e+00                  4.534154e+02                  -3.086620e+03                 -2.633205e+03                 7.229337e+01                  2.023383e-03                  
2.130000e+00                  4.513521e+02                  -3.084529e+03                 -2.633177e+03                 7.196440e+01                  2.013395e-03                  
2.140000e+00                  4.503004e+02                  -3.083454e+03                 -2.633154e+03                 7.179671e+01                  2.003188e-03                  
2.150000e+00                  4.506130e+02                  -3.083760e+03                 -2.633147e+03                 7.184655e+01                  1.992735e-03                  
2.160000e+00                  4.523873e+02                  -3.085549e+03                 -2.633161e+03                 7.212946e+01                  1.982028e-03                  
2.170000e+00                  4.554020e+02                  -3.088591e+03                 -2.633189e+03                 7.261012e+01                  1.971083e-03                  
2.180000e+00                  4.592297e+02                  -3.092446e+03                 -2.633216e+03                 7.322041e+01                  1.959934e-03                  
2.190000e+00                  4.634236e+02                  -3.096658e+03                 -2.633235e+03                 7.388910e+01                  1.948626e-03                  
2.200000e+00                  4.676429e+02                  -3.100887e+03                 -2.633244e+03                 7.456183e+01                  1.937208e-03                  
2.210000e+00                  4.716830e+02                  -3.104929e+03                 -2.633246e+03                 7.520599e+01                  1.925728e-03                  
2.220000e+00                  4.754543e+02                  -3.108697e+03                 -2.633243e+03                 7.580730e+01                  1.914230e-03                  
2.230000e+00                  4.789471e+02                  -3.112185e+03                 -2.633238e+03                 7.636419e+01                  1.902755e-03                  
2.240000e+00                  4.821984e+02                  -3.115430e+03                 -2.633231e+03                 7.688258e+01                  1.891340e-03                  
2.250000e+00                  4.852647e+02                  -3.118490e+03                 -2.633226e+03                 7.737148e+01                  1.880022e-03                  
2.260000e+00                  4.881996e+02                  -3.121421e+03                 -2.633222e+03                 7.783943e+01                  1.868836e-03                  
2.270000e+00                  4.910374e+02                  -3.124257e+03                 -2.633220e+03                 7.829189e+01                  1.857817e-03                  
2.280000e+00                  4.937778e+02                  -3.126999e+03                 -2.633222e+03                 7.872882e+01                  1.847000e-03                  
2.290000e+00                  4.963751e+02                  -3.129602e+03                 -2.633227e+03                 7.914295e+01                  1.836422e-03                  
2.300000e+00                  4.987369e+02                  -3.131971e+03                 -2.633234e+03                 7.951952e+01                  1.826118e-03                  
2.310000e+00                  5.007377e+02                  -3.133980e+03                 -2.633243e+03                 7.983853e+01                  1.816119e-03                  
2.320000e+00                  5.022491e+02                  -3.135498e+03                 -2.633249e+03                 8.007951e+01                  1.806453e-03                  
2.330000e+00                  5.031761e+02                  -3.136427e+03                 -2.633251e+03                 8.022731e+01                  1.797141e-03                  
2.340000e+00                  5.034883e+02                  -3.136736e+03                 -2.633247e+03                 8.027709e+01                  1.788197e-03                  
2.350000e+00                  5.032355e+02                  -3.136475e+03                 -2.633239e+03                 8.023677e+01                  1.779624e-03                  
2.360000e+00                  5.025386e+02                  -3.135767e+03                 -2.633229e+03                 8.012566e+01                  1.771419e-03                  
2.370000e+00                  5.015530e+02                  -3.134773e+03                 -2.633220e+03                 7.996852e+01                  1.763571e-03                  
2.380000e+00                  5.004140e+02                  -3.133630e+03                 -2.633216e+03                 7.978691e+01                  1.756066e-03                  
2.390000e+00                  4.991882e+02                  -3.132407e+03                 -2.633219e+03                 7.959147e+01                  1.748889e-03                  
2.400000e+00                  4.978591e+02                  -3.131084e+03                 -2.633225e+03                 7.937955e+01                  1.742025e-03                  
2.410000e+00                  4.963515e+02                  -3.129584e+03                 -2.633233e+03                 7.913918e+01                  1.735457e-03                  
2.420000e+00                  4.945794e+02                  -3.127817e+03                 -2.633238e+03                 7.885664e+01                  1.729165e-03                  
